1,Chongqing,"30,165,500[6]","82,403[7]",366,China
2,Shanghai,"24,183,300[8]","6,340.5[9]","3,814",China
3,Beijing,"21,707,000[10]","16,411[7]","1,267",China
4,Lagos,"16,060,303[a]","1,171.28[12]","13,712",Nigeria
5,Istanbul,"15,029,231[13]",620.29[14],"24,231",Turkey
6,Karachi,"14,910,352[15]","3,780","3,944",Pakistan
7,Guangzhou,"13,081,000[17]","7,434[17]","1,760",China
8,Shenzhen,"12,528,300[18]","1,992[19]","6,889",China
9,Mumbai,"12,442,373[20]",437.71[22],"28,426",India
10,Moscow,"12,229,000[23]","1,021.75[26]","11,969",Russia
11,SÜo Paulo,"12,038,000[27]","1,081.05","11,199",Brazil
12,Kinshasa,"11,462,000[29][30]",473.73[32],"24,195",Democratic Republic of the Congo
13,Tianjin,"11,249,000[17]","11,920[33]",944,China
14,Lahore,"11,126,000[15]",502.55[29],"22,139",Pakistan
15,Delhi,"11,034,555[34]",461.83,"23,893",India
16,Jakarta,"10,624,000[35]",661.5,"16,060",Indonesia
17,Dongguan,"10,615,000[37]","2,460","4,315",China
18,Seoul,"9,806,000[38]",605.25[39],"16,202",South Korea
19,Foshan,"9,279,000[40][41]","3,797[42]","2,444",China
20,Tokyo,"9,273,000[43]",626.99[43],"14,790",Japan
21,Chengdu,"9,012,000[17]","14,312[17]",630,China
22,Lima,"8,894,000[44]","2,672","3,329",Peru
23,Mexico City,"8,875,000[46]",607.22[47],"14,616",Mexico
24,London,"8,825,001[48]","1,572","5,614",United Kingdom
25,Tehran,"8,694,000[50]",574.13[52],"15,143",Iran
26,New York,"8,622,698[53]",786.3,"10,966",United States
27,Bangalore,"8,443,675[55]",709,"11,909",India
28,Shenyang,"8,106,171[56]","12,980",625,China
29,Dhaka,"8,063,000[57]",337.54[58],"23,888",Bangladesh
30,Wuhan,"8,035,000[59]","8,494[61]",946,China
31,Bogotà,"7,963,000[62]",428.26[64][65],"18,594",Colombia
32,Cairo,"7,740,000[66]",302.56[68],"25,582",Egypt
33,Ningbo,"7,605,689[69]","9,816.23",775,China
34,Ho Chi Minh City,"7,431,000[70]",453.60[70],"16,382",Vietnam
35,Nanjing,"7,260,000[71]","6,582","1,103",China
36,Hong Kong,"7,298,600[72]","1,104.43[74]","6,608",China
37,Hanoi,"7,232,700[70]","3,324.5[70]","2,176",Vietnam
38,Changsha,"7,044,118[75]","11,819",596,China
39,Hangzhou,"7,035,000[77]",850.83[77],"8,268",China
40,Ahmedabad,"7,021,000[78]",351.21,"19,991",India
41,Hyderabad,"6,993,262[79]",651.75[80],"11,494",India
42,Baghdad,"6,793,000[81]",424.53[83],"16,001",Iraq
43,Chennai,"6,727,000[84]",426.51[86],"15,772",India
44,Riyadh,"6,694,000[87]",410.97[89],"16,288",Saudi Arabia
45,Rio de Janeiro,"6,520,000[90]",751.44[91],"8,677",Brazil
46,Xi'an,"6,220,000[92]","10,135",614,China
47,Suzhou,"5,983,000[94]","8,488[96]",705,China
48,Surat,"5,868,000[97]",210.20[98],"27,916",India
49,Bangkok,"5,782,000[99]",764.73,"7,561",Thailand
50,Santiago,"5,561,000[101]",595.49,"9,339",Chile
51,Singapore,"5,607,000[103]",602.75[103],"9,302",Singapore
52,Shantou,"5,391,028[104]","2,064.42","2,611",China
53,Saint Petersburg,"5,351,000[105]",463.11[26],"11,554",Russia
54,Harbin,"5,299,000[106][107]",614.31[108],"8,626",China
55,Dar es Salaam,"5,257,000[109]",330.52[111],"15,905",Tanzania
56,Yangon,"5,214,000[29]",598.75[113],"8,708",Myanmar
57,Johannesburg,"4,949,000[114]",432.84,"11,434",South Africa
58,Abidjan,"4,765,000[29]","2,119[115]","2,249",Ivory Coast
59,Alexandria,"4,616,625[116]","2,300[117][118]","2,007",Egypt
60,Kolkata,"4,496,694[119]",185,"24,306",India
61,Ankara,"4,470,800[120]","1,910.92[122][123]","2,340",Turkey
62,Giza,"4,239,988[124]",289.08,"14,667",Egypt
63,Zhengzhou,"4,122,087[126]","1,015.66","4,059",China
64,Los Angeles,"3,976,322[128]","1,213.85","3,276",United States
65,New Taipei City,"3,954,929[130]","2,052.57[131]","1,927",Taiwan
66,Cape Town,"3,740,026[114]","2,444.97","1,530",South Africa
67,Yokohama,"3,726,167[43]",437.49,"8,517",Japan
68,Berlin,"3,671,000[132]",891.75,"4,117",Germany
69,Busan,"3,590,000[133]",347.49[133],"10,331",South Korea
70,Xiamen,"3,531,347[134]","1,699","2,078",China
71,Jeddah,"3,456,259[135]","1,765[136]","1,958",Saudi Arabia
72,Durban,"3,442,361[114]","2,291.31","1,502",South Africa
73,Kabul,"3,414,100[137]",275,"12,415",Afghanistan
74,Casablanca,"3,359,818[138]",230,"14,608",Morocco
75,Hefei,"3,352,076[139]",838.52,"3,998",China
76,Pyongyang,"3,255,388[141]","2,113[142]","1,541",North Korea
77,Madrid,"3,207,247[143]",605.77,"5,294",Spain
78,Faisalabad,"3,203,846[15]",214,"14,971",Pakistan
79,Ekurhuleni,"3,178,470[114]","1,975.31","1,609",South Africa
80,Nairobi,"3,138,369[144]",694.9,"4,829",Kenya
81,Zhongshan,"3,121,275[145]","1,783.67","1,750",China
82,Pune,"3,115,431[78]",450.69,"6,913",India
83,Addis Ababa,"3,103,673[146]",526.99,"5,889",Ethiopia
84,Jaipur,"3,073,350[78]",485,"6,337",India
85,Buenos Aires,"3,054,300[148]",203,"15,046",Argentina
86,Wenzhou,"3,039,439[149]","1,187.88","2,559",China
87,Incheon,"3,002,645[151]",328.55,"9,139",South Korea
